Smartphone,RAM,Storage,Free,Final Price,PriceCategory
1739,8.0,128.0,1,299.95,رخيص
1491,8.0,256.0,1,825.4,متوسط
1587,8.0,64.0,1,107.94,رخيص
699,8.0,256.0,1,229.0,رخيص
60,8.0,64.0,1,809.0,متوسط
181,8.0,128.0,1,1159.0,غالي
260,8.0,64.0,1,259.0,رخيص
1161,8.0,128.0,1,1164.79,غالي
1579,8.0,64.0,1,122.27,رخيص
341,8.0,128.0,1,588.99,متوسط
1003,8.0,256.0,1,349.94,رخيص
1466,8.0,256.0,1,623.0,متوسط
890,8.0,128.0,0,95.0,رخيص
27,8.0,64.0,1,368.0,رخيص
817,4.0,128.0,1,252.59,رخيص
746,4.0,64.0,1,210.0,رخيص
90,8.0,128.0,1,922.58,متوسط
1457,8.0,128.0,1,399.0,رخيص
1172,8.0,128.0,1,1128.89,غالي
300,8.0,256.0,1,420.52,رخيص
955,4.0,128.0,1,281.18,رخيص
1116,8.0,128.0,1,520.15,متوسط
1278,8.0,256.0,1,1199.0,غالي
577,4.0,128.0,1,196.63,رخيص
156,8.0,256.0,1,1379.0,غالي
1688,4.0,64.0,1,189.99,رخيص
95,8.0,256.0,1,706.0,متوسط
157,8.0,256.0,1,1379.0,غالي
155,8.0,256.0,1,1379.0,غالي
1590,4.0,128.0,1,158.99,رخيص
113,8.0,256.0,1,1029.0,غالي
718,8.0,256.0,1,439.0,رخيص
1064,8.0,128.0,1,393.06,رخيص
1178,8.0,128.0,1,749.0,متوسط
177,8.0,512.0,1,1359.0,غالي
251,8.0,256.0,1,731.6,متوسط
1654,2.0,32.0,1,79.99,رخيص
118,8.0,512.0,1,1239.0,غالي
203,8.0,128.0,1,1969.0,غالي
39,8.0,256.0,1,589.0,متوسط
597,4.0,64.0,1,138.99,رخيص
1343,8.0,256.0,1,1493.29,غالي
25,8.0,64.0,1,368.0,رخيص
1496,8.0,256.0,1,1310.08,غالي
715,8.0,256.0,1,479.99,رخيص
120,8.0,128.0,1,809.0,متوسط
291,8.0,256.0,1,389.0,رخيص
1237,8.0,128.0,1,844.0,متوسط
1513,8.0,128.0,1,302.29,رخيص
1664,4.0,64.0,1,201.47,رخيص
1192,8.0,128.0,1,759.0,متوسط
75,8.0,64.0,1,689.0,متوسط
1313,8.0,256.0,1,621.56,متوسط
202,8.0,128.0,1,1969.0,غالي
431,8.0,128.0,1,219.95,رخيص
640,8.0,256.0,1,521.61,متوسط
796,4.0,128.0,1,221.6,رخيص
122,8.0,128.0,1,809.0,متوسط
1455,8.0,128.0,1,422.24,رخيص
150,8.0,128.0,1,1259.0,غالي
1081,4.0,64.0,1,179.0,رخيص
1692,8.0,128.0,1,415.51,رخيص
1145,8.0,128.0,1,649.0,متوسط
871,8.0,256.0,1,852.59,متوسط
922,4.0,64.0,1,228.69,رخيص
1298,8.0,128.0,1,410.04,رخيص
719,8.0,256.0,1,429.01,رخيص
1251,8.0,256.0,1,790.0,متوسط
1476,8.0,256.0,1,780.85,متوسط
252,8.0,256.0,1,701.61,متوسط
1262,8.0,256.0,1,1209.0,غالي
601,4.0,128.0,1,202.59,رخيص
791,4.0,64.0,1,202.59,رخيص
1700,8.0,128.0,1,379.0,رخيص
530,4.0,64.0,1,143.93,رخيص
950,4.0,64.0,1,159.95,رخيص
683,8.0,128.0,1,199.0,رخيص
1316,8.0,128.0,0,1099.0,غالي
1274,8.0,512.0,1,1249.0,غالي
238,8.0,256.0,1,189.99,رخيص
92,8.0,128.0,1,694.0,متوسط
63,8.0,64.0,1,809.0,متوسط
126,8.0,256.0,1,929.0,متوسط
137,8.0,128.0,1,1159.0,غالي
1556,4.0,128.0,1,199.99,رخيص
310,8.0,128.0,1,819.0,متوسط
133,8.0,512.0,1,1159.0,غالي
1371,4.0,128.0,1,204.99,رخيص
1532,8.0,64.0,1,306.59,رخيص
115,8.0,512.0,1,1239.0,غالي
675,4.0,128.0,1,184.0,رخيص
621,8.0,128.0,1,469.0,رخيص
608,4.0,64.0,1,442.23,رخيص
1635,4.0,128.0,1,129.95,رخيص
629,8.0,256.0,1,1299.0,غالي
1522,8.0,256.0,1,234.0,رخيص
1736,8.0,128.0,1,379.99,رخيص
36,8.0,256.0,1,589.0,متوسط
290,8.0,256.0,1,388.0,رخيص
482,8.0,128.0,1,849.58,متوسط
376,8.0,256.0,1,229.0,رخيص
1102,8.0,256.0,1,810.78,متوسط
1020,4.0,128.0,1,249.01,رخيص
1787,8.0,32.0,1,60.46,رخيص
1795,2.0,32.0,1,109.0,رخيص
1413,4.0,64.0,1,169.99,رخيص
1687,4.0,64.0,1,189.99,رخيص
636,8.0,256.0,1,799.0,متوسط
375,8.0,256.0,1,229.0,رخيص
1559,4.0,64.0,1,156.53,رخيص
1674,8.0,128.0,1,349.0,رخيص
69,8.0,128.0,1,739.0,متوسط
399,8.0,128.0,1,425.0,رخيص
673,4.0,64.0,1,269.0,رخيص
119,8.0,512.0,1,1259.0,غالي
205,8.0,512.0,1,1709.0,غالي
594,4.0,64.0,1,189.0,رخيص
914,8.0,32.0,1,146.0,رخيص
1040,8.0,128.0,1,390.0,رخيص
1473,8.0,128.0,1,363.04,رخيص
68,8.0,128.0,1,739.0,متوسط
622,8.0,256.0,1,999.0,متوسط
1599,8.0,32.0,1,149.99,رخيص
1701,8.0,128.0,1,349.99,رخيص
38,8.0,256.0,1,589.0,متوسط
1099,8.0,128.0,0,219.0,رخيص
1783,4.0,128.0,1,359.98,رخيص
32,8.0,64.0,1,413.0,رخيص
1459,8.0,128.0,1,448.99,رخيص
1525,8.0,128.0,1,194.87,رخيص
44,8.0,64.0,1,487.0,رخيص
259,8.0,64.0,1,269.0,رخيص
858,8.0,256.0,1,553.95,متوسط
933,4.0,128.0,1,199.0,رخيص
377,8.0,256.0,1,229.0,رخيص
982,8.0,128.0,1,359.0,رخيص
1569,4.0,128.0,1,179.95,رخيص
1624,2.0,32.0,1,85.99,رخيص
1012,4.0,64.0,1,140.0,رخيص
1117,8.0,128.0,1,214.0,رخيص
20,8.0,64.0,1,589.0,متوسط
722,8.0,256.0,1,579.99,متوسط
549,8.0,128.0,1,188.31,رخيص
161,8.0,512.0,1,1609.0,غالي
273,8.0,64.0,1,269.0,رخيص
1344,8.0,256.0,1,1799.0,غالي
